TRADING_NAME,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,latitude,longitude
53 Mile Roadhouse,31 South Western Hwy,PINJARRA,6208,Murray,Peel,-32.6343,115.8709
7-Eleven Alkimos,10 Carlsbad Prom,ALKIMOS,6038,North of River,Metro,-31.6283,115.6898
7-Eleven Ascot,194 Great Eastern Hwy,ASCOT,6104,South of River,Metro,-31.9417,115.925
7-Eleven Balcatta,174 Balcatta Rd,BALCATTA,6021,North of River,Metro,-31.8604,115.8096
7-Eleven Baldivis,370 Baldivis Rd,BALDIVIS,6171,South of River,Metro,-32.3084,115.8217
7-Eleven Balga,102 Princess Rd,BALGA,6061,North of River,Metro,-31.8565,115.8375
7-Eleven Banksia Grove,1/300 Joseph Banks Bvd,BANKSIA GROVE,6031,North of River,Metro,-31.7033,115.8035
7-Eleven Bassendean,302-318 Collier Rd,BASSENDEAN,6054,North of River,Metro,-31.9066,115.9301
7-Eleven Bentley,1133-1135 Albany Hwy,BENTLEY,6102,South of River,Metro,-32.0017,115.9185
7-Eleven Bibra Lake,35 Port Kembla Dr,BIBRA LAKE,6163,South of River,Metro,-32.1011,115.802
7-Eleven Booragoon,492 Marmion St,BOORAGOON,6154,South of River,Metro,-32.0395,115.8229
7-Eleven Brabham,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,-31.8328,115.9683
7-Eleven Bunbury East,8D Picton Rd,EAST BUNBURY,6230,Bunbury,South-West,-33.3456,115.662
7-Eleven Busselton,81-93 West St,BUSSELTON,6280,Busselton-Shire,South-West,-33.6549,115.3421
7-Eleven Butler,270 Butler Bvd,BUTLER,6036,North of River,Metro,-31.6355,115.7056
7-Eleven Byford South,25 Abernethy Rd,BYFORD,6122,South of River,Metro,-32.222,116.0059
7-Eleven Carlisle,232 Orrong Rd,CARLISLE,6101,South of River,Metro,-31.9718,115.9181
7-Eleven Caversham,2131 West Swan Rd,CAVERSHAM,6055,North of River,Metro,-31.8755,115.9746
7-Eleven Clarkson,19 Neerabup Dr,CLARKSON,6030,North of River,Metro,-31.6928,115.7176
7-Eleven Cockburn Central,814 North Lake Rd,COCKBURN CENTRAL,6164,South of River,Metro,-32.1199,115.8467
7-Eleven Dalyellup,51 Tiffany Ctr,DALYELLUP,6230,Capel,South-West,-33.397,115.6364
7-Eleven Dunsborough,100 Commonage Rd,DUNSBOROUGH,6281,Busselton-Shire,South-West,-33.635,115.1157
7-Eleven Eaton,15 Albatross Cres,EATON,6230,Dardanup,South-West,-33.3215,115.7153
7-Eleven Forrestdale,2 Haydock St,FORRESTDALE,6112,South of River,Metro,-32.1237,115.9562
7-Eleven Golden Bay,52 Thundelarra Dr,GOLDEN BAY,6174,South of River,Metro,-32.4208,115.7609
7-Eleven Gosnells,303 Corfield St,GOSNELLS,6110,South of River,Metro,-32.0904,115.9978
7-Eleven Greenfields South,13 Lakes Rd,GREENFIELDS,6210,Mandurah,Peel,-32.5377,115.7576
7-Eleven Greenfields,1 Eaglemont St,GREENFIELDS,6210,Mandurah,Peel,-32.5208,115.7541
7-Eleven Harrisdale,120 Yellowwood Ave,HARRISDALE,6112,South of River,Metro,-32.1258,115.926
7-Eleven Haynes,1256 Armadale Rd,ARMADALE,6112,South of River,Metro,-32.1476,115.9855
7-Eleven Joondalup,8 Buick Way,JOONDALUP,6027,North of River,Metro,-31.7541,115.765
7-Eleven Kardinya,1 South St,KARDINYA,6163,South of River,Metro,-32.0676,115.8163
7-Eleven Kelmscott Central,4 Church St,KELMSCOTT,6111,South of River,Metro,-32.1191,116.0175
7-Eleven Kelmscott,105 Champion Dr,KELMSCOTT,6111,South of River,Metro,-32.1284,116.0005
7-Eleven Landsdale,8 Mullingar Way,LANDSDALE,6065,North of River,Metro,-31.8052,115.8358
7-Eleven Maddington South,1969 Albany Hwy,MADDINGTON,6109,South of River,Metro,-32.0554,115.9885
7-Eleven Malaga,650 Marshall Rd,MALAGA,6090,North of River,Metro,-31.8568,115.9078
7-Eleven Malvern Springs,324 The Broadway,ELLENBROOK,6069,North of River,Metro,-31.7662,115.9856
7-Eleven Mandurah,296 Pinjarra Rd,MANDURAH,6210,Mandurah,Peel,-32.5356,115.7369
7-Eleven Middle Swan,40-42 Great Northern Hwy,MIDDLE SWAN,6056,East/Hills,Metro,-31.8736,116.0116
7-Eleven Midland,8 Clayton St,MIDLAND,6056,East/Hills,Metro,-31.8981,116.0154
7-Eleven Midvale,231 Morrison Rd,MIDVALE,6056,East/Hills,Metro,-31.8855,116.0331
7-Eleven Morley,162 Russell St,MORLEY,6062,North of River,Metro,-31.9032,115.9032
7-Eleven Queens Park,235 Welshpool Rd,QUEENS PARK,6107,South of River,Metro,-31.9972,115.9467
7-Eleven Ridgewood,35 Kilrush Turn,RIDGEWOOD,6030,North of River,Metro,-31.6541,115.7152
7-Eleven Rockingham Central,2 Sepia Ct,ROCKINGHAM,6168,South of River,Metro,-32.2923,115.7433
7-Eleven Rockingham,129 Dixon Rd,EAST ROCKINGHAM,6168,South of River,Metro,-32.2764,115.7773
7-Eleven Southern River,481 Balfour St,SOUTHERN RIVER,6110,South of River,Metro,-32.1073,115.9399
7-Eleven Stirling,377 Wanneroo Rd,BALCATTA,6021,North of River,Metro,-31.8801,115.8345
7-Eleven Success,660 Beeliar Dr,SUCCESS,6164,South of River,Metro,-32.1265,115.8396
7-Eleven Thornlie,125 Murdoch Rd,THORNLIE,6108,South of River,Metro,-32.0696,115.9521
7-Eleven Treendale,147-149 Grand Ent,AUSTRALIND,6233,Harvey,South-West,-33.2768,115.7249
7-Eleven Wanneroo South,929-931 Wanneroo Rd,WANNEROO,6065,North of River,Metro,-31.7543,115.8044
7-Eleven Wattle Grove,332 Hale Rd,WATTLE GROVE,6107,East/Hills,Metro,-31.9997,115.9858
7-Eleven Withers,1 Island Queen St,WITHERS,6230,Bunbury,South-West,-33.3623,115.6303
7-Eleven Yanchep,2 Tamala Lane,YANCHEP,6035,North of River,Metro,-31.5504,115.6386
Ampol Albany Diesel Stop,634 Menang Dr,WILLYUNG,6330,Albany,Great Southern,-34.9602,117.8869
Ampol Bibra Lake Diesel Stop,5 Cocos Dr,BIBRA LAKE,6163,South of River,Metro,-32.1093,115.8098
Ampol Bridgetown Diesel Stop,1 Spencer St,BRIDGETOWN,6255,B-Town/G-Bushes,South-West,-33.959,116.1387
Ampol Collie,124 Throssell St,COLLIE,6225,Collie,South-West,-33.3597,116.1527
Ampol Fitzroy Crossing Diesel Stop,53 Emanuel Way,FITZROY CROSSING,6765,Fitzroy Cross,Kimberley,-18.1995,125.5693
Ampol Foodary Altone Road,159 Altone Rd,BEECHBORO,6063,North of River,Metro,-31.8713,115.9449
Ampol Foodary Applecross,918 Canning Hwy,APPLECROSS,6153,South of River,Metro,-32.0115,115.8508
Ampol Foodary Ascot,204 Great Eastern Hwy,ASCOT,6104,South of River,Metro,-31.9408,115.9264
Ampol Foodary Ashby,2 Hollosy Way,ASHBY,6065,North of River,Metro,-31.7323,115.8042
Ampol Foodary Baldivis,614 Baldivis Rd,BALDIVIS,6171,South of River,Metro,-32.3311,115.8206
Ampol Foodary Bannister Road,60 Bannister Rd,CANNING VALE,6155,South of River,Metro,-32.0632,115.9264
Ampol Foodary Belmont,303 Great Eastern Hwy,BELMONT,6104,South of River,Metro,-31.9377,115.9332
Ampol Foodary Bentley,91-93 Manning Rd,BENTLEY,6102,South of River,Metro,-32.0122,115.9142
Ampol Foodary Broome,50 Mavis Rd,BILINGURR,6725,Broome,Kimberley,-17.9289,122.2365
Ampol Foodary Bunbury,1 Forrest Ave,BUNBURY,6230,Bunbury,South-West,-33.3367,115.6413
Ampol Foodary Busselton,115 Strelly St,BUSSELTON,6280,Busselton-Shire,South-West,-33.6668,115.3506
Ampol Foodary Butler,11 Headingly Cr,BUTLER,6036,North of River,Metro,-31.6542,115.7125
Ampol Foodary Byford,Lot 22 South Western Hwy,BYFORD,6122,South of River,Metro,-32.2267,116.0073
Ampol Foodary Cannington,1346 Albany Hwy,CANNINGTON,6107,South of River,Metro,-32.0174,115.9351
Ampol Foodary Carine,510 Beach Rd,CARINE,6020,North of River,Metro,-31.8464,115.7955
Ampol Foodary Carnarvon,595 Robinson St,KINGSFORD,6701,Carnarvon,Gascoyne,-24.8622,113.7011
Ampol Foodary Clarkson,7 Ocean Keys Bvd,CLARKSON,6030,North of River,Metro,-31.6893,115.7154
Ampol Foodary Cockburn Central,3 Armadale Rd,JANDAKOT,6164,South of River,Metro,-32.1265,115.8613
Ampol Foodary Coolgardie,110-114 Bayley St,COOLGARDIE,6429,Coolgardie,Goldfields-Esperance,-30.9544,121.1587
Ampol Foodary Dawesville,191 Bailey Bvd,DAWESVILLE,6211,Mandurah,Peel,-32.6307,115.6324
Ampol Foodary Doubleview,365 Scarborough Beach Rd,DOUBLEVIEW,6018,North of River,Metro,-31.9014,115.7942
Ampol Foodary East Fremantle,176 Canning Hwy,EAST FREMANTLE,6158,South of River,Metro,-32.0407,115.7663
Ampol Foodary East Perth,157 Lord St,PERTH,6000,North of River,Metro,-31.9486,115.8695
Ampol Foodary Eaton,1 Pratt Rd,EATON,6232,Dardanup,South-West,-33.3112,115.6971
Ampol Foodary Erskine,112 Oakleigh Dr,ERSKINE,6210,Mandurah,Peel,-32.5603,115.6894
Ampol Foodary Esperance,59 Dempster St,ESPERANCE,6450,Esperance,Goldfields-Esperance,-33.8579,121.8939
Ampol Foodary Exmouth,77 Maidstone Cr,EXMOUTH,6707,Exmouth,Gascoyne,-21.9327,114.1275
Ampol Foodary Falcon (Miami Beach),2 Baroy St,FALCON,6210,Mandurah,Peel,-32.5811,115.6614
Ampol Foodary Forrest Highway North,Lot 602 Forrest Hwy,WEST PINJARRA,6208,Murray,Peel,-32.6854,115.7783
Ampol Foodary Forrest Highway South,Lot 601 Forrest Hwy,WEST PINJARRA,6208,Murray,Peel,-32.6857,115.7781
Ampol Foodary Forrestdale,63 Alex Wood Dr,FORRESTDALE,6112,South of River,Metro,-32.1466,115.9655
Ampol Foodary Gelorup,39 Bussell Hwy,GELORUP,6230,Capel,South-West,-33.4121,115.6266
Ampol Foodary Glendalough,2 Jon Sanders Dr,GLENDALOUGH,6016,North of River,Metro,-31.922,115.8192
Ampol Foodary Gosnells North,2100 Albany Hwy,GOSNELLS,6110,South of River,Metro,-32.0642,115.9996
Ampol Foodary Gosnells,158 Corfield St,GOSNELLS,6110,South of River,Metro,-32.0799,115.988
Ampol Foodary Greenfields,35 Minilya Pkwy,GREENFIELDS,6210,Mandurah,Peel,-32.5302,115.7653
Ampol Foodary High Wycombe,967 Abernethy Rd,HIGH WYCOMBE,6057,East/Hills,Metro,-31.9524,115.9872
Ampol Foodary Joondalup,420 Joondalup Dr,JOONDALUP,6027,North of River,Metro,-31.741,115.764
Ampol Foodary Kalgoorlie South,146 Boulder Rd,SOUTH KALGOORLIE,6430,Kalgoorlie,Goldfields-Esperance,-30.7528,121.4805
Ampol Foodary Kalgoorlie,581 Hannan St,SOMERVILLE,6430,Kalgoorlie,Goldfields-Esperance,-30.7647,121.4528
Ampol Foodary Karratha,Lot 3861 Bathgate Rd,NICKOL,6714,Karratha,Pilbara,-20.7405,116.8105
Ampol Foodary Karrinyup,490 Karrinyup Rd,GWELUP,6018,North of River,Metro,-31.8821,115.7961
Ampol Foodary Kewdale,2 Fenton St,KEWDALE,6105,South of River,Metro,-31.9836,115.9561
Ampol Foodary Kingsley,86 Kingsley Dr,KINGSLEY,6026,North of River,Metro,-31.8069,115.789
Ampol Foodary Kwinana,Cnr Mandurah Rd & Wellard Rd,KWINANA BEACH,6167,South of River,Metro,-32.1042,115.9441
Ampol Foodary Lakelands,Lot 50 Mandurah Rd,MEADOW SPRINGS,6210,Mandurah,Peel,-32.4791,115.7578
Ampol Foodary Leederville,319 Vincent St,LEEDERVILLE,6007,North of River,Metro,-31.9367,115.8401
Ampol Foodary Livingston,110 Ranford Rd,CANNING VALE,6155,South of River,Metro,-32.0872,115.9168
Ampol Foodary Malaga Drive,76 Malaga Dr,MALAGA,6090,North of River,Metro,-31.8634,115.8941
Ampol Foodary Malaga,1 Capital Rd,MALAGA,6090,North of River,Metro,-31.8482,115.8785
Ampol Foodary Melville,585 Canning Hwy,ALFRED COVE,6154,South of River,Metro,-32.0314,115.8149
Ampol Foodary Midvale,375 Great Eastern Hwy,MIDVALE,6056,East/Hills,Metro,-31.8947,116.0317
Ampol Foodary Mosman Park,676 Stirling Hwy,MOSMAN PARK,6012,North of River,Metro,-32.012,115.7556
